date,location,temperature,rainfall,wind_speed
2023-03-24,Mumbai,38.0,18.6,10.0
2023-03-24,Delhi,31.2,15.9,10.0
2023-03-24,Chennai,37.1,11.5,8.4
2023-03-24,Kolkata,31.1,7.1,5.6
2023-03-24,Bangalore,34.8,17.0,5.0
2023-03-24,Hyderabad,34.4,3.0,14.4
2023-03-24,Ahmedabad,31.3,6.7,12.4
2023-03-24,Pune,37.6,3.6,13.0
2023-03-24,Jaipur,37.6,17.3,6.8
2023-03-24,Surat,37.2,16.3,14.2
2023-03-25,Mumbai,31.6,16.2,11.1
2023-03-25,Delhi,40.0,10.9,13.7
2023-03-25,Chennai,31.9,1.6,12.5
2023-03-25,Kolkata,31.8,17.1,6.5
2023-03-25,Bangalore,31.8,5.9,6.0
2023-03-25,Hyderabad,37.6,9.4,13.2
2023-03-25,Ahmedabad,36.1,4.0,8.0
2023-03-25,Pune,35.0,16.5,5.7
2023-03-25,Jaipur,30.4,3.6,5.6
2023-03-25,Surat,32.1,15.3,14.5
2023-03-26,Mumbai,38.1,19.7,6.4
2023-03-26,Delhi,36.1,3.2,8.5
2023-03-26,Chennai,32.7,10.6,11.9
2023-03-26,Kolkata,34.8,11.0,12.5
2023-03-26,Bangalore,32.0,15.4,6.2
2023-03-26,Hyderabad,33.8,13.5,10.3
2023-03-26,Ahmedabad,32.2,15.0,10.0
2023-03-26,Pune,38.6,9.8,11.0
2023-03-26,Jaipur,30.4,0.6,13.6
2023-03-26,Surat,34.5,7.3,10.5
2023-03-27,Mumbai,39.9,11.7,9.5
2023-03-27,Delhi,35.4,11.7,5.0
2023-03-27,Chennai,31.6,6.1,9.0
2023-03-27,Kolkata,36.1,3.4,6.6
2023-03-27,Bangalore,30.3,12.5,13.7
2023-03-27,Hyderabad,34.7,10.7,5.1
2023-03-27,Ahmedabad,39.5,5.3,10.7
2023-03-27,Pune,35.1,10.7,6.8
2023-03-27,Jaipur,38.7,7.7,7.1
2023-03-27,Surat,34.5,14.4,11.4
2023-03-28,Mumbai,35.0,3.8,10.0
2023-03-28,Delhi,35.0,19.5,9.1
2023-03-28,Chennai,36.5,11.3,9.0
2023-03-28,Kolkata,39.6,15.4,7.9
2023-03-28,Bangalore,33.6,0.3,13.3
2023-03-28,Hyderabad,39.4,4.0,5.9
2023-03-28,Ahmedabad,38.0,19.6,13.7
2023-03-28,Pune,36.2,9.8,13.5
2023-03-28,Jaipur,31.9,18.0,12.9
2023-03-28,Surat,34.7,4.2,6.4
2023-03-29,Mumbai,36.5,7.0,5.1
2023-03-29,Delhi,31.2,16.8,7.1
2023-03-29,Chennai,34.1,9.3,7.1
2023-03-29,Kolkata,31.4,1.7,14.1
2023-03-29,Bangalore,39.5,2.0,12.9
2023-03-29,Hyderabad,32.4,1.0,13.3
2023-03-29,Ahmedabad,32.4,15.5,5.7
2023-03-29,Pune,34.9,12.4,8.3
2023-03-29,Jaipur,32.6,12.9,10.2
2023-03-29,Surat,32.4,15.5,7.5
2023-03-30,Mumbai,37.8,14.9,6.1
2023-03-30,Delhi,35.8,18.7,8.5
2023-03-30,Chennai,39.9,18.6,5.9
2023-03-30,Kolkata,40.0,11.8,12.6
2023-03-30,Bangalore,31.1,17.0,5.4
2023-03-30,Hyderabad,38.2,12.1,7.9
2023-03-30,Ahmedabad,38.0,3.4,9.4
2023-03-30,Pune,32.2,14.1,7.8
2023-03-30,Jaipur,30.7,11.3,5.8
2023-03-30,Surat,35.8,11.5,9.4
2023-03-31,Mumbai,36.9,16.0,7.4
2023-03-31,Delhi,33.3,10.8,13.3
2023-03-31,Chennai,36.8,6.1,8.4
2023-03-31,Kolkata,31.2,10.7,14.1
2023-03-31,Bangalore,37.2,18.5,9.5
2023-03-31,Hyderabad,34.6,3.6,9.7
2023-03-31,Ahmedabad,30.1,18.8,8.0
2023-03-31,Pune,38.4,11.8,7.1
2023-03-31,Jaipur,36.8,5.1,14.1
2023-03-31,Surat,38.1,16.1,9.2
2023-04-01,Mumbai,33.2,0.7,12.8
2023-04-01,Delhi,37.0,0.3,14.6
2023-04-01,Chennai,37.1,12.2,13.3
2023-04-01,Kolkata,39.9,5.0,5.6
2023-04-01,Bangalore,31.2,3.9,9.8
2023-04-01,Hyderabad,30.1,13.7,12.5
2023-04-01,Ahmedabad,33.8,12.1,7.9
2023-04-01,Pune,35.1,12.1,5.5
2023-04-01,Jaipur,38.2,4.3,6.3
2023-04-01,Surat,38.8,12.9,11.1
2023-04-02,Mumbai,37.3,16.2,12.9
2023-04-02,Delhi,31.7,8.8,9.5
2023-04-02,Chennai,33.6,2.3,11.7
2023-04-02,Kolkata,37.6,8.4,14.0
2023-04-02,Bangalore,35.6,13.6,6.8
2023-04-02,Hyderabad,35.2,6.0,10.4
2023-04-02,Ahmedabad,39.3,4.7,8.1
2023-04-02,Pune,39.2,18.1,10.1
2023-04-02,Jaipur,36.9,4.8,9.6
2023-04-02,Surat,37.5,1.3,7.3
2023-04-03,Mumbai,33.3,10.2,6.4
2023-04-03,Delhi,32.0,10.4,13.4
2023-04-03,Chennai,36.9,4.7,9.0
2023-04-03,Kolkata,30.2,1.7,9.4
2023-04-03,Bangalore,39.5,4.5,6.6
2023-04-03,Hyderabad,33.6,7.0,6.7
2023-04-03,Ahmedabad,37.2,6.4,14.4
2023-04-03,Pune,35.5,7.5,9.0
2023-04-03,Jaipur,33.1,4.2,6.0
2023-04-03,Surat,38.6,6.1,5.7
2023-04-04,Mumbai,30.6,0.7,14.1
2023-04-04,Delhi,37.7,7.8,8.8
2023-04-04,Chennai,31.1,12.9,5.3
2023-04-04,Kolkata,30.8,19.2,11.5
2023-04-04,Bangalore,34.9,6.0,5.5
2023-04-04,Hyderabad,35.9,2.1,12.6
2023-04-04,Ahmedabad,31.6,9.0,9.5
2023-04-04,Pune,34.5,17.6,8.7
2023-04-04,Jaipur,34.6,6.4,15.0
2023-04-04,Surat,33.4,9.8,5.8
2023-04-05,Mumbai,32.7,3.7,10.5
2023-04-05,Delhi,30.2,1.1,6.1
2023-04-05,Chennai,37.4,19.7,9.0
2023-04-05,Kolkata,33.7,6.9,13.6
2023-04-05,Bangalore,36.2,1.9,10.8
2023-04-05,Hyderabad,38.6,7.3,8.3
2023-04-05,Ahmedabad,33.9,16.7,11.6
2023-04-05,Pune,37.5,15.7,12.0
2023-04-05,Jaipur,38.3,15.7,12.4
2023-04-05,Surat,33.1,0.4,14.0
2023-04-06,Mumbai,34.5,1.3,12.9
2023-04-06,Delhi,35.3,12.7,8.7
2023-04-06,Chennai,32.3,18.5,8.7
2023-04-06,Kolkata,32.3,3.4,6.4
2023-04-06,Bangalore,34.3,7.0,8.9
2023-04-06,Hyderabad,36.8,4.2,8.4
2023-04-06,Ahmedabad,31.9,11.3,10.6
2023-04-06,Pune,31.2,6.3,7.2
2023-04-06,Jaipur,34.0,12.4,6.1
2023-04-06,Surat,33.5,0.4,8.4
2023-04-07,Mumbai,31.4,11.0,7.9
2023-04-07,Delhi,33.9,10.3,9.8
2023-04-07,Chennai,30.3,18.1,9.0
2023-04-07,Kolkata,37.4,9.3,6.5
2023-04-07,Bangalore,34.7,12.4,10.2
2023-04-07,Hyderabad,33.7,6.1,6.7
